codigo;fechareg;origen;documento;valor;estado;tipo_mov
1864;2019-01-01;7;0;286701;S;101
1865;2019-01-01;7;0;286701;S;101
1866;2019-01-01;7;0;286701;S;101
1867;2019-01-01;7;0;286701;S;101
1868;2019-01-01;7;0;286701;S;101
1869;2019-01-01;7;0;286701;S;101
1870;2019-01-01;7;0;286701;S;101
1871;2019-01-01;7;0;286701;S;101
1872;2019-01-01;7;0;286701;S;101
1873;2019-01-01;7;0;286701;S;101
1874;2019-01-01;7;0;286701;S;101
1875;2019-01-01;7;0;286701;S;101
1876;2019-01-01;7;0;286701;S;101
1877;2019-01-01;7;0;286701;S;101
1878;2019-01-01;7;0;286701;S;101
1879;2019-01-01;7;0;286701;S;101
1880;2019-01-01;7;0;286701;S;101
1881;2019-01-01;7;0;286701;S;101
1882;2019-01-01;7;0;286701;S;101
1883;2019-01-01;7;0;286701;S;101
1884;2019-01-01;7;0;286701;S;101
1885;2019-01-01;7;0;129583;S;101
1886;2019-01-01;7;0;129583;S;101
1887;2019-01-01;7;0;129583;S;101
1888;2019-01-01;7;0;129583;S;101
1889;2019-01-01;7;0;129583;S;101
1890;2019-01-01;7;0;129583;S;101
1891;2019-01-01;7;0;129583;S;101
1892;2019-01-01;7;0;129583;S;101
1893;2019-01-01;7;0;129583;S;101
1894;2019-01-01;7;0;129583;S;101
1895;2019-01-01;7;0;129583;S;101
1896;2019-01-01;7;0;220289;S;101
1897;2019-01-01;7;0;220289;S;101
1898;2019-01-01;7;0;220289;S;101
1899;2019-01-01;7;0;220289;S;101
1900;2019-01-01;7;0;220289;S;101
1901;2019-01-01;7;0;220289;S;101
1902;2019-01-01;7;0;472976;S;101
1903;2019-01-01;7;0;472976;S;101
1904;2019-01-01;7;0;472976;S;101
1905;2019-01-01;7;0;472976;S;101
1906;2019-01-01;7;0;472976;S;101
1907;2019-01-01;7;0;472976;S;101
1908;2019-01-01;7;0;472976;S;101
1975;2019-01-01;7;0;661655;S;101
1976;2019-01-01;7;0;661655;S;101
1977;2019-01-01;7;0;661655;S;101
2717;2019-01-01;7;0;3435000;S;101
2550;2019-01-01;7;0;611499;S;101
270;2019-01-01;7;0;2384548;S;101
17;2019-01-01;7;0;63800;S;101
2331;2019-01-01;7;0;787800000;S;101
1986;2019-01-01;7;0;60088;S;101
2757;2019-01-01;7;0;9240000;S;101
2726;2019-01-01;7;0;500000;S;101
132;2019-01-01;7;0;795900;S;101
133;2019-01-01;7;0;795900;S;101
2750;2019-01-01;7;0;8180000;S;101
2755;2019-01-01;7;0;8180000;S;101
27;2019-01-01;7;0;101150;S;101
6;2019-01-01;7;0;73315;S;101
327;2019-01-01;7;0;179916;S;101
328;2019-01-01;7;0;179916;S;101
329;2019-01-01;7;0;179916;S;101
330;2019-01-01;7;0;179916;S;101
331;2019-01-01;7;0;179916;S;101
332;2019-01-01;7;0;179916;S;101
333;2019-01-01;7;0;179916;S;101
334;2019-01-01;7;0;179916;S;101
335;2019-01-01;7;0;179916;S;101
1987;2019-01-01;7;0;1125200;S;101
28;2019-01-01;7;0;100000;S;101
260;2019-01-01;7;0;286698;S;101
261;2019-01-01;7;0;286698;S;101
262;2019-01-01;7;0;286698;S;101
263;2019-01-01;7;0;286698;S;101
297;2019-01-01;7;0;1218000;S;101
298;2019-01-01;7;0;1218000;S;101
301;2019-01-01;7;0;1218000;S;101
302;2019-01-01;7;0;1218000;S;101
303;2019-01-01;7;0;1218000;S;101
296;2019-01-01;7;0;1218000;S;101
256;2019-01-01;7;0;500000;S;101
294;2019-01-01;7;0;1150000;S;101
299;2019-01-01;7;0;1218000;S;101
300;2019-01-01;7;0;1218000;S;101
304;2019-01-01;7;0;1218000;S;101
295;2019-01-01;7;0;1150000;S;101
268;2019-01-01;7;0;10556000;S;101
269;2019-01-01;7;0;10556000;S;101
2330;2019-01-01;7;0;31679773;S;101
2118;2019-01-01;7;0;49900;S;101
2100;2019-01-01;7;0;49900;S;101
2101;2019-01-01;7;0;49900;S;101
2102;2019-01-01;7;0;49900;S;101
2103;2019-01-01;7;0;49900;S;101
2104;2019-01-01;7;0;49900;S;101
2105;2019-01-01;7;0;49900;S;101
2106;2019-01-01;7;0;49900;S;101
2107;2019-01-01;7;0;49900;S;101
2108;2019-01-01;7;0;49900;S;101
2109;2019-01-01;7;0;49900;S;101
2110;2019-01-01;7;0;49900;S;101
2111;2019-01-01;7;0;49900;S;101
2112;2019-01-01;7;0;49900;S;101
2113;2019-01-01;7;0;49900;S;101
2114;2019-01-01;7;0;49900;S;101
2115;2019-01-01;7;0;49900;S;101
2116;2019-01-01;7;0;49900;S;101
2117;2019-01-01;7;0;49900;S;101
20;2019-01-01;7;0;281399;S;101
1933;2019-01-01;7;0;239847;S;101
1934;2019-01-01;7;0;239847;S;101
1935;2019-01-01;7;0;239847;S;101
2762;2019-01-01;7;0;9240000;S;101
2552;2019-01-01;7;0;134800;S;101
2754;2019-01-01;7;0;8180000;S;101
2361;2019-01-01;7;0;3061870;S;101
2362;2019-01-01;7;0;3061870;S;101
2363;2019-01-01;7;0;3061870;S;101
2364;2019-01-01;7;0;3061870;S;101
2365;2019-01-01;7;0;3061870;S;101
2366;2019-01-01;7;0;3061870;S;101
2367;2019-01-01;7;0;3061870;S;101
2368;2019-01-01;7;0;3061870;S;101
2369;2019-01-01;7;0;3061870;S;101
2526;2019-01-01;7;0;3229440;S;101
2525;2019-01-01;7;0;340800;S;101
